feed_timestamp,entity_id,cause,effect,header_text,description_text
1769004918,390223,9,11,Courthouse Escalator 415 (Airport/Design Center platform to lobby) unavailable due to ongoing construction at the station. ,
1769004918,390224,9,11,Courthouse Escalator 417 (Airport/Design Center platform to south lobby) unavailable due to ongoing construction at the station. ,
1769004918,416078,1,7,Lynn Parking Garage arcade stairs 1 and 2 are closed until further notice due to structural issues. Customers may exit the garage via elevators to the ground level or by using the south stairs located on the Market street side of the garage.,Vehicular access to the upper 2 levels of the garage is restricted. The garage has sufficient parking capacity to accommodate daily demand.
1769004918,428140,10,7,"The Upper Parking Lot at Worcester Station is closed with the exception to accessible parking, due to construction.",
1769004918,435698,9,11,Bowdoin Escalator 125 (Lobby to street) is unavailable until further notice pending replacement. ,"The escalator will remain out of service for the foreseeable future. This decision was made after a thorough inspection determined that corrosion on the escalator’s steel truss was so severe that it could not be repaired further and that a complete replacement of the escalator would be required. Replacing the escalator at this location requires a more extended unit meeting modern escalator safety requirements. This longer unit will require significant alteration to the station entrance to meet code requirements. The MBTA has currently begun design work to understand what station upgrades will be needed. 
  
Due to these complexities, we expect the escalator will remain out of service for a significant time. We recognize the challenges this poses to our riders, and please know we are working to identify a solution as quickly as possible. In the meantime, Government Center Station, which is fully accessible and serves the Blue Line, is under a quarter-mile from Bowdoin Station. 
"
1769004918,490115,9,11,Andrew Escalator 123 (Ashmont/Braintree platform to busway) is unavailable until further notice pending replacement.,
1769004918,507767,1,8,The Riverside Ave entrance at Campello Station is currently closed. Passengers may continue to use the Plain St entrance.,"Affected lines:
Fall River/New Bedford Line"
1769004918,577252,1,11,Oak Grove Escalator 105 (Commuter Rail platform to unpaid lobby) unavailable,
1769004918,580278,1,8,Hingham/Hull Ferry: Portions of the Town of Hull parking lot at the Hull ferry terminal are blocked off for sewer pump station construction work. More information is available at https://www.town.hull.ma.us/,
1769004918,625935,1,8,Littleton/Route 495 passengers can expect occasional traffic and detours accessing the station due to the Foster Street reconstruction work. ,"Scheduled to complete sometime in 2027, the Reconstruction of Foster Street includes widening and resurfacing with the addition of bicycle lanes.  "
1769004918,630009,1,8,There is no accessible path connecting the inbound and outbound platforms at Wellesley Square Station. The existing path includes steep slopes and is long. Designs are underway to provide for a fully compliant pathway.,"There are accessible mini-high platforms at the Western end of both the Track 1 and Track 2 sides. However, the existing pedestrian path between the two sides is long and includes steep slopes, especially on the Crest Road bridge over the tracks. Designs are underway to provide for a fully compliant pathway. "
1769004918,634987,1,11,State Escalator 6 (Oak Grove platform to Old State House lobby) unavailable,
1769004918,635231,10,7,South Station Pedal & Park is closed due to construction. Bicycle racks are currently available on Atlantic Ave adjacent to the South Station main entrance.,
1769004918,639578,9,11,Malden Center Escalator 312 (Street level to Commuter Rail platform) unavailable due to maintenance.,
1769004918,652201,1,8,Jackson Square: The stairway connecting the Jackson Sq lobby and the south end of the platform is closed until winter 2026. Use the stairway at the north end of the platform. This closure is for the construction of a new stairway and a second elevator.,
1769004918,656012,1,8,"To accommodate Providence Station Renovations, construction barriers have been installed and the Southern stairwell to Track 1 is out of service. Staircase access to Track 3 and Track 5 are now open. ","Affected lines:
Providence/Stoughton Line
Foxboro (Special Events)"
1769004918,658350,1,11,Ruggles Escalator 136 (Orange Line platform to upper lobby) unavailable,
1769004918,658971,1,7,Please board all outbound Providence/Stoughton Line trains using the temporary outbound platform (Track 3) at Readville until further notice. ,"Affected direction: Outbound

Affected stops:
Readville"
1769004918,661599,1,8,"Construction is ongoing in the Hingham Parking lot and on Shipyard Drive in preparation for the Hingham Ferry Dock upgrades. There is reduced parking in the lot, and portions of Shipyard Drive and driveways to and from the parking lot are affected",
1769004918,661805,10,4,Routes 71 and 73 are detoured due to construction. The nearest connections are Mt Auburn St @ Mt Auburn Hospital or Mt Auburn St @ Traill St. ,"Affected stops:
Mt Auburn St @ Longfellow Rd (outbound)
Mt Auburn St @ Sparks St (outbound)
Mt Auburn St opp Sparks St (inbound)"
1769004918,663337,1,6,"The Amtrak infrastructure repairs have been completed and starting Monday, January 19th, Franklin/Foxboro Line trains will resume operating according to the Fall/Winter schedule.","Schedule available soon at mbta.com/cr.

On MLK Day, Monday 1/19, All commuter rail trains will operate on a regular weekday schedule.

Shuttle buses will continue to be provided with extended mid-day service (9:30 am -4:30 pm) between Walpole and Foxboro as construction at Foxboro Station continues.

Certain Foxboro trains will be restored between South Station & Walpole, with connecting bus service to Foxboro.

Weekday trains will resume operating via Back Bay.

Weekend trains will resume operating via Fairmount.


"
1769004918,668492,1,8,"Jackson Square: The platform is undergoing renovations to improve safety and accessibility. Sections of the platform are unlevel, which may make it difficult for some riders to board and exit trains. ",Please see station personnel or use a station call box to request assistance.
1769004918,680071,10,7,Wonderland Garage parking will be temporarily reduced for lighting upgrades. A limited amount of parking spaces will be available during construction.,
1769004918,684040,10,1,"Market St @ Tremont St (inbound & outbound) is closed until further notice due to construction. Riders of the 426, 429, 441, 442, 455 can board at S Common St @ Market St. Riders of the 435 can board at Tremont St opp St Mary's High School.","Affected routes:
426
429
435
441
442
455"
1769004918,685308,9,4,Blue Line: There will be no train service between Bowdoin & Airport the weekend of January 24 - 25 for maintenance work. Shuttle buses will replace service between Airport and Downtown. Riders downtown can board Airport shuttles at Haymarket.,"Additional Travel Time:
Riders using shuttle buses should budget extra time. For example, a rider traveling to Government Center from Wonderland should budget at least an additional 30 – 40 minutes of travel in additional to their regular commute.  

Shuttle Buses:
Free and accessible shuttle buses will make stops at Airport, Maverick, and Haymarket on the Green and Orange lines.

Shuttle Stops:

Airport:
Transportation Way @ Service Rd (Route 104 drop-off)

Maverick:
Maverick Sq @ Maverick Station

Haymarket:
Drop-off: Surface Rd @ Hanover St
Pick-up: Congress St @ Haymarket Station

Downtown Connections:
There will be no direct shuttle bus service to/from Bowdoin, Government Center (for connections to the Green Line), State (for connections to the Orange Line), or Aquarium.    

Accessible Vans:
Accessible vans will be available for direct service to Government, Haymarket, Aquarium, and State. Vans can be requested by MBTA personnel or by a station call box."
1769004918,685324,9,4,"Red Line: Shuttle buses will replace service between Broadway and North Quincy & Broadway and Ashmont the weekend of January 31 - February 1, for track work. This is to allow for upgrading and testing of the signal system.","Additional Travel Time:
Riders using shuttle buses should budget extra time. For example, a rider traveling to Downtown Crossing from Ashmont should budget at least an additional 40 minutes of travel in additional to their regular commute.  

Commuter Rail Alternatives:
Riders are strongly encouraged to use the Fall River/New Bedford, Kingston, and Greenbush (Old Colony) Commuter Rail lines for fare-free service between Braintree, Quincy Center, JFK/UMass, and South Station. Regular fares will be collected for trips beyond Braintree.

Accessibility:
Accessible van service will be available between the Savin Hill headhouse and the shuttle stop, and between Broadway and Ashmont. Vans can be requested by MBTA personnel or by a station call box.

Shuttle Locations:

Broadway:
W. Broadway @ Broadway Station

Andrew:
Northbound - Dorchester Ave @ Leeds St
Southbound - Dorchester Ave @ Dexter St

JFK/UMass:
All shuttles - Outer Busway

North Quincy:
North Quincy Station Garage"
1769004918,685488,1,8,"On the weekends of Jan 3rd-4th, 17th-18th and 31st-Feb.1st, Orange Line service will replace regular weekend train service on the Haverhill Line between North Station and Oak Grove to allow for signal improvement work.","-A diversion schedule will be in effect.

-Passengers can use the Orange Line for service between North Station and Oak Grove. 

-There will be normal Commuter Rail weekend train service between Oak Grove and Haverhill.

-There will be no shuttle buses provided for this diversion.

-Riders using the Orange Line should budget extra travel time. For example, a rider traveling to North Station from Oak Grove should budget at least 10 minutes of travel in addition to their regular trip time."
1769004918,685489,1,8,"On the weekends of Jan 3rd-4th, 17th-18th and 31st-Feb.1st, local and express shuttle buses replace regular weekend train service on the Lowell Line between North Station and Anderson/Woburn to allow for signal improvement work.","- A diversion schedule will be in effect. 

- An express shuttle will operate nonstop between North Station and Anderson/Woburn.

- A local shuttle will operate between North Station and Anderson/Woburn, making all local stops. 

-Riders using the shuttle buses should budget extra travel time. For example, a rider traveling to North Station from Anderson/Woburn should budget up to 15 minutes additional travel on the express shuttle and up to 40 minutes additional travel on the local shuttle.

Shuttle bus pick up/drop off locations:

NORTH STATION: Nashua St @ Red Auerbach Way

WEST MEDFORD: Inbound – High St @ Canal St (MBTA Routes 94, 95, & 326 bus stop)
                                Outbound – High St @ Warren St (MBTA Routes 94, 95, & 326 bus stop)

WEDGEMERE: Wedgemere Station Parking Lot (inbound side)

WINCHESTER CENTER: Laraway Rd @ Winchester Center Station (MBTA Route 134 bus stop)

ANDERSON/WOBURN: Anderson/Woburn Station Busway (adjacent to Logan Express bus"
